VM Exectution:
				PC	BP	SP	stack
Initial Values:			0	0	-1
0	INC	0	6	1	0	5	0 0 0 0 0 0 
1	RED	0	2	
Input : 				2	0	6	0 0 0 0 0 0 7 
2	STO	0	3	3	0	5	0 0 0 7 0 0 
3	RED	0	2	
Input : 				4	0	6	0 0 0 7 0 0 2 
4	STO	0	4	5	0	5	0 0 0 7 2 0 
5	LIT	0	0	6	0	6	0 0 0 7 2 0 0 
6	STO	0	5	7	0	5	0 0 0 7 2 0 
7	CAL	0	9	9	6	5	0 0 0 7 2 0 
9	INC	0	3	10	6	8	0 0 0 7 2 0 0 0 8 
10	LOD	1	4	11	6	9	0 0 0 7 2 0 0 0 8 2 
11	LIT	0	0	12	6	10	0 0 0 7 2 0 0 0 8 2 0 
12	EQL	0	5	13	6	9	0 0 0 7 2 0 0 0 8 0 
13	JPC	0	15	15	6	8	0 0 0 7 2 0 0 0 8 
15	LOD	1	5	16	6	9	0 0 0 7 2 0 0 0 8 0 
16	LOD	1	3	17	6	10	0 0 0 7 2 0 0 0 8 0 7 
17	ADD	0	1	18	6	9	0 0 0 7 2 0 0 0 8 7 
18	STO	1	5	19	6	8	0 0 0 7 2 7 0 0 8 
19	LOD	1	4	20	6	9	0 0 0 7 2 7 0 0 8 2 
20	LIT	0	1	21	6	10	0 0 0 7 2 7 0 0 8 2 1 
21	SUB	0	2	22	6	9	0 0 0 7 2 7 0 0 8 1 
22	STO	1	4	23	6	8	0 0 0 7 1 7 0 0 8 
23	CAL	1	9	9	9	8	0 0 0 7 1 7 0 0 8 
9	INC	0	3	10	9	11	0 0 0 7 1 7 0 0 8 0 6 24 
10	LOD	1	4	11	9	12	0 0 0 7 1 7 0 0 8 0 6 24 1 
11	LIT	0	0	12	9	13	0 0 0 7 1 7 0 0 8 0 6 24 1 0 
12	EQL	0	5	13	9	12	0 0 0 7 1 7 0 0 8 0 6 24 0 
13	JPC	0	15	15	9	11	0 0 0 7 1 7 0 0 8 0 6 24 
15	LOD	1	5	16	9	12	0 0 0 7 1 7 0 0 8 0 6 24 7 
16	LOD	1	3	17	9	13	0 0 0 7 1 7 0 0 8 0 6 24 7 7 
17	ADD	0	1	18	9	12	0 0 0 7 1 7 0 0 8 0 6 24 14 
18	STO	1	5	19	9	11	0 0 0 7 1 14 0 0 8 0 6 24 
19	LOD	1	4	20	9	12	0 0 0 7 1 14 0 0 8 0 6 24 1 
20	LIT	0	1	21	9	13	0 0 0 7 1 14 0 0 8 0 6 24 1 1 
21	SUB	0	2	22	9	12	0 0 0 7 1 14 0 0 8 0 6 24 0 
22	STO	1	4	23	9	11	0 0 0 7 0 14 0 0 8 0 6 24 
23	CAL	1	9	9	12	11	0 0 0 7 0 14 0 0 8 0 6 24 
9	INC	0	3	10	12	14	0 0 0 7 0 14 0 0 8 0 6 24 0 9 24 
10	LOD	1	4	11	12	15	0 0 0 7 0 14 0 0 8 0 6 24 0 9 24 0 
11	LIT	0	0	12	12	16	0 0 0 7 0 14 0 0 8 0 6 24 0 9 24 0 0 
12	EQL	0	5	13	12	15	0 0 0 7 0 14 0 0 8 0 6 24 0 9 24 1 
13	JPC	0	15	14	12	14	0 0 0 7 0 14 0 0 8 0 6 24 0 9 24 
14	RTN	0	0	24	9	11	0 0 0 7 0 14 0 0 8 0 6 24 
24	RTN	0	0	24	6	8	0 0 0 7 0 14 0 0 8 
24	RTN	0	0	8	0	5	0 0 0 7 0 14 
8	JMP	0	25	25	0	5	0 0 0 7 0 14 
25	LOD	0	5	26	0	6	0 0 0 7 0 14 14 
26	WRT	0	1	
Output : 14
				27	0	5	0 0 0 7 0 14 
27	HLT	0	3	28	0	5	0 0 0 7 0 14 

