VM Exectution:
				PC	BP	SP	stack
Initial Values:			0	0	-1
0	INC	0	4	1	0	3	0 0 0 0 
1	LIT	0	12	2	0	4	0 0 0 0 12 
2	STO	0	3	3	0	3	0 0 0 12 
3	LOD	0	3	4	0	4	0 0 0 12 12 
4	LIT	0	3	5	0	5	0 0 0 12 12 3 
5	GTR	0	9	6	0	4	0 0 0 12 1 
6	JPC	0	12	7	0	3	0 0 0 12 
7	LOD	0	3	8	0	4	0 0 0 12 12 
8	LIT	0	2	9	0	5	0 0 0 12 12 2 
9	DIV	0	4	10	0	4	0 0 0 12 6 
10	STO	0	3	11	0	3	0 0 0 6 
11	JMP	0	3	3	0	3	0 0 0 6 
3	LOD	0	3	4	0	4	0 0 0 6 6 
4	LIT	0	3	5	0	5	0 0 0 6 6 3 
5	GTR	0	9	6	0	4	0 0 0 6 1 
6	JPC	0	12	7	0	3	0 0 0 6 
7	LOD	0	3	8	0	4	0 0 0 6 6 
8	LIT	0	2	9	0	5	0 0 0 6 6 2 
9	DIV	0	4	10	0	4	0 0 0 6 3 
10	STO	0	3	11	0	3	0 0 0 3 
11	JMP	0	3	3	0	3	0 0 0 3 
3	LOD	0	3	4	0	4	0 0 0 3 3 
4	LIT	0	3	5	0	5	0 0 0 3 3 3 
5	GTR	0	9	6	0	4	0 0 0 3 0 
6	JPC	0	12	12	0	3	0 0 0 3 
12	LOD	0	3	13	0	4	0 0 0 3 3 
13	LIT	0	4	14	0	5	0 0 0 3 3 4 
14	MUL	0	3	15	0	4	0 0 0 3 12 
15	LIT	0	7	16	0	5	0 0 0 3 12 7 
16	GEQ	0	10	17	0	4	0 0 0 3 1 
17	JPC	0	24	18	0	3	0 0 0 3 
18	LIT	0	18	19	0	4	0 0 0 3 18 
19	LIT	0	3	20	0	5	0 0 0 3 18 3 
20	ADD	0	1	21	0	4	0 0 0 3 21 
21	LIT	0	7	22	0	5	0 0 0 3 21 7 
22	DIV	0	4	23	0	4	0 0 0 3 3 
23	STO	0	3	24	0	3	0 0 0 3 
24	HLT	0	3	25	0	3	0 0 0 3 

